Company_Name,Sector,Stage,Location,What_it_does,Funding_Amount($),Year,Investor,Redistributed_sector
FoodBuddy,Food Delivery,Seed,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",3000000.0,2018,Inflection Point Ventures,Food & Beverage
Ninjacart,AgTech,Series B,Bengaluru,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,3000000.0,2018,Inflection Point Ventures,Agriculture
Olly Smart Credit Card,Credit Cards,Seed,New Delhi,Olly is a digital credit card for India's working masses and young people.,3000000.0,2018,Inflection Point Ventures,Finance
Zestl,Software,Seed,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",3000000.0,2018,Inflection Point Ventures,Technology & IT
BYJU’S,EdTech,Private Equity,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,540000000.0,2018,Inflection Point Ventures,Education
Wakefit,Manufacturing,Private Equity,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,3000000.0,2018,Inflection Point Ventures,Manufacturing & Industrial
Hero Electric,Manufacturing,Private Equity,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",3000000.0,2018,Inflection Point Ventures,Manufacturing & Industrial
Pentation Analytics,Information Services,Seed,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,3000000.0,2018,Inflection Point Ventures,Others
PerkFinance,Consumer Lending,Seed,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,900000.0,2018,Inflection Point Ventures,Finance
Roposo,Internet,Series C,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,10000000.0,2018,Inflection Point Ventures,Others
Plum Goodness,Beauty,Series A,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,3000000.0,2018,Inflection Point Ventures,Fashion & Beauty
